Date,MapID,CivA,UnitA,CivB,UnitB,WinnerUnit,Notes
2026-08-26,RiverValley,Chola,Spearman,Vijayanagara,Cavalry,Spearman,"1v1 forced melee fight in Play mode, both units full-HP at spawn and placed in immediate range (no pathing/chase). Spearman won at 30/35 HP remaining (Cavalry dealt 1 hit before dying). Confirms CombatBonus.Multiplier(Spearman,Cavalry)=2x hard counter holds in an actual fight, not just as a multiplier constant."
2026-08-27,Main(testarea),Chola,Siege,Chola,Soldier,Siege,"1v1 forced melee, Ancient age, no upgrades. Siege won at 40/50 HP. Confirms Siege's documented flat 1x (no bonus/penalty) vs Infantry holds live."
2026-08-27,Main(testarea),Chola,Siege,Chola,Archer,Siege,"1v1 forced melee, Ancient age, no upgrades. Siege won at 46/50 HP. Confirms flat 1x vs Archer holds live (Siege closes to melee range immediately since placed within its own attackRange)."
2026-08-27,Main(testarea),Chola,Siege,Chola,Cavalry,Siege,"1v1 forced melee, Ancient age, no upgrades. Siege won at 38/50 HP. Confirms flat 1x vs Cavalry holds live - Siege's anti-building specialization carries no unit-vs-unit penalty as documented."
2026-08-27,Main(testarea),Chola,Spearman,Chola,Soldier,Soldier,"1v1 forced melee, Ancient age, no upgrades. Soldier (Infantry) won at 2/30 HP, Spearman died on Soldier's 7th hit. Matches hand-calc exactly: Infantry's 1.25x vs Spearman (5*1.25=6.25 raw, -1 armor = 5.25/hit, 7 hits to kill 35 HP) narrowly beats Spearman's un-bonused hit on Infantry (5 raw -1 armor = 4/hit, needs 8 hits to kill 30 HP). Confirms the CombatBonus.cs comment's claim that 'a Spearman blob without support dies fast to plain Infantry' is real, not just documented intent. Side note (not a bug, comment-only): CombatBonus.cs's Spearman doc comment describes this as Spearman receiving 'weak 0.8x' from Infantry, but the actual multiplier (1.25x extra damage dealt by Infantry) is framed the opposite way round in the comment text - functionally correct, just an inverted description; flagged for a future doc-only touch-up, not fixed this session (comment text only, zero behavior change)."
2026-08-27,Main(testarea),Chola,Spearman,Chola,Spearman,Spearman(attacker-first),"1v1 forced melee mirror match, Ancient age, no upgrades. Symmetric stats as expected - winner determined by which attacker's Update() ran first in frame order (3/35 HP remaining). No asymmetry bug found."
2026-08-27,Main(testarea),Chola,WarGalley,Chola,Soldier,War Galley,"1v1 forced melee/ranged, Ancient age, no upgrades, Galley on land coordinates (WaterMover has no water dependency for a stationary fight). Galley won at 20/45 HP (44%) - real counterplay from the Soldier's side (25 dmg dealt), not a free win, consistent with the roadmap's note that only Naval-vs-Archer has been evidenced/tuned and every other naval pairing is flat 1x by raw stats alone."
2026-08-27,Main(testarea),Chola,WarGalley,Chola,Spearman,War Galley,"1v1 forced melee/ranged, Ancient age, no upgrades. Galley won at 15/45 HP (33%) - similar pattern to vs-Soldier, real damage taken, no fix needed (raw-stat win, not a broken counter)."
2026-08-27,Main(testarea),Maurya,MauryaWarElephant,Chola,Cavalry,Maurya War Elephant,"1v1 forced melee, Ancient age, no upgrades. War Elephant won at 88/100 HP. First live confirmation this unique-unit factory (backend-complete per Roadmap Section 5 item 3) actually fights correctly - UnitClass.Siege, no CombatBonus penalty/bonus vs Cavalry, wins on raw stats as designed."
2026-08-27,Main(testarea),Maurya,PillarEdictScholar,Chola,Soldier,Soldier,"1v1 forced melee, Ancient age, no upgrades. Soldier won at 12/30 HP, Scholar died. Confirms Pillar Edict Scholar's support-unit design intent (\"not a fighter\", 30HP/4dmg vs a dedicated Soldier's 30HP/5dmg) - loses 1v1 as expected, no exploit found."
2026-08-27,Main(testarea),Maratha,MarathaMavlaRaider,Chola,Cavalry,Maratha Mavla Raider,"1v1 forced melee, Ancient age, no upgrades. Raider (glass-cannon, 32HP/7dmg) won at 2/32 HP over generic Cavalry (40HP/6dmg) - close fight, functions correctly as the higher-damage/lower-HP raider archetype it's designed to be."
2026-08-27,Main(testarea),Maratha,DurgGarrison(mechanic),N/A,Siege,N/A (multiplier check, not a unit-vs-unit fight),"Not a win/loss matchup - live-measured Siege's actual damage-per-hit against a fully-built Wall (WallFactory + ConstructionSite.CompleteImmediately) before/after Garrison.TryGarrison(). Ungarrisoned: 507 damage over 13 hits = exactly 39/hit (15 base * 3x Siege-vs-Building - 6 wall armor), matching CombatBonus's 3x exactly. Garrisoned (SiegeImmune=true): 225 damage over 25 hits = exactly 9/hit (15*1x - 6 armor), confirming the coded 3x-to-1x immunity strip is exact, not approximate, live in Play mode (previously only covered by the factory's own construction, never a live before/after damage measurement)."
