UnitID,DisplayName,Category,Age,FoodCost,WoodCost,GoldCost,TrainTime,HP,Attack,AttackType,MeleeArmor,PierceArmor,MoveSpeed,AttackRange,IsUniqueToCiv,CivOwnerID,CounterNotes,HistoricalBasis
worker,Worker,Support,1,50,0,0,6,20,2,Melee,0,0,3.5,1,FALSE,,"Non-combat gatherer/builder with a weak self-defense attack",Generic villager equivalent
soldier,Soldier,Infantry,1,50,0,20,5,30,5,Melee,1,0,4.0,1,FALSE,,"Balanced Infantry line unit, port exact from SoldierFactory",Generic line infantry
spearman,Spearman,Spearman,1,35,15,0,5,35,5,Melee,1,0,3.5,1,FALSE,,"Hard counter vs Cavalry (see CounterMatrix Spearman->Cavalry 2.0x), weak vs Archer - NEW category, doesn't exist yet in the codebase, needed for the AoE4-style counter web the CounterMatrix design introduces",Generic spear-armed infantry, the counter-matrix's actual anti-cavalry answer
archer,Archer,Archer,1,40,0,35,5,18,4,Pierce,0,0,3.8,6,FALSE,,"Ranged Infantry counter, port exact from ArcherFactory",Generic bow infantry
cavalry,Cavalry,Cavalry,2,70,0,50,5,40,6,Melee,1,0,6.5,1,FALSE,,"Fast shock unit, port exact from CavalryFactory",Generic mounted warrior
siege,Siege,Siege,2,90,0,75,5,50,15,Melee,0,0,1.8,3,FALSE,,"Anti-building specialist, port exact from SiegeFactory",Generic siege engine crew
fishing_boat,Fishing Boat,Naval,1,0,50,20,5,15,0,Melee,0,0,3.0,0,FALSE,,"Non-combat naval gatherer, port exact from FishingBoatFactory",Generic fishing vessel
war_galley,War Galley,Naval,2,0,80,60,6,45,8,Pierce,0,0,3.0,4,FALSE,,"Naval combat unit, port exact from WarGalleyFactory",Generic war galley
chola_naval_raider,Chola Naval Raider,Archer,2,55,0,45,5,22,6,Pierce,0,1,3.9,7,TRUE,chola,"Elite Archer, deliberately land-based (not Naval) so it isn't dead weight on non-water maps - port exact from CholaNavalRaiderFactory",Reflects Chola's real naval-power history via an elite raider rather than a water-gated unit
chola_catamaran,Chola Catamaran,Naval,2,30,20,20,5,25,5,Pierce,0,0,5.0,3,TRUE,chola,"Fast, fragile scout/harassment boat - the actual naval payoff for Chola on Coastal, since Naval Raider deliberately isn't naval - NEW unit",Chola dynasty's real blue-water naval dominance
vijayanagara_war_elephant,Vijayanagara War Elephant,Siege,2,120,0,90,6,90,10,Trample,2,2,2.2,2.5,TRUE,vijayanagara,"Durable battering unit, not a strictly-better Siege - port exact from VijayanagaraWarElephantFactory",War elephants used both as shock cavalry and to batter fortifications
hampi_temple_guard,Hampi Temple Guard,Infantry,2,55,0,35,5,45,6,Melee,1,0,3.5,1,TRUE,vijayanagara,"+20% max health while within Tower/Wall range - a garrison specialist rewarding Vijayanagara's own cheap/tough walls - NEW unit",Reinforces the Hampi fortification identity with a defense-oriented unit
rajput_royal_guard,Rajput Royal Guard,Cavalry,2,90,0,70,5,55,9,Melee,2,1,6.0,1,TRUE,rajput,"Rajput's best cavalry - port exact from RajputRoyalGuardFactory",Ties warrior-clan flavor to Rajput's historically dominant mounted combat
rajputani_archer,Rajput Rajputani Archer,Archer,2,45,0,40,5,24,5,Pierce,0,0,3.8,6,TRUE,rajput,"+25% damage specifically vs Cavalry-class targets - a dedicated anti-cavalry specialist, gives Rajput a real answer to being counter-picked - NEW unit",Historical Rajput mounted-archer support alongside heavy cavalry
maurya_war_elephant,Mauryan War Elephant,Siege,2,130,0,100,6,100,11,Trample,2,2,2.0,2.5,TRUE,maurya,"The heaviest elephant in the roster - NEW unit",Ashoka-era war elephant corps, historically Maurya's signature military asset
pillar_edict_scholar,Mauryan Pillar Edict Scholar,Infantry,1,40,0,10,5,30,4,Melee,0,0,3.5,1,TRUE,maurya,"Support unit, not a fighter - +50% gather-rate aura to nearby Workers while standing near them - NEW unit",Ashoka's edict pillars/administrative reach, reimagined as a support unit
maratha_mavla_raider,Maratha Mavla Raider,Cavalry,2,60,0,45,5,32,7,Melee,1,0,8.5,1,TRUE,maratha,"Fast glass-cannon raider, not a line-holder - -20% HP relative to Rajput Royal Guard, +30% move speed on top of the civ's own cavalry speed bonus - NEW unit",Ganimi Kava light-cavalry guerrilla raiders, Maratha's actual signature unit type
maratha_durg_garrison,Maratha Durg Garrison,Infantry,2,50,0,30,5,35,5,Melee,1,0,3.5,1,TRUE,maratha,"Immune to the Siege-class 3x anti-building bonus while garrisoned inside a Wall/Tower - a fortress-defense specialist - NEW unit",Maratha mountain-fort (durg) network was central to their strategy
