CivID,CivName,BonusDescription,BonusType,NumericEffect,UniqueUnit,UniqueTech,TeamBonus,DesignInspiration
maurya,Maurya,"Houses cost no Wood (Mauryan urban planning/centralized administration)",Structural,Free Houses,,,,"AoE2 Persians-style infra bonus, but structural not flat"
maurya,Maurya,"Starts the match already in the Classical Age, skipping the Ancient Age research step",Structural,Skip Age I,,,,"AoE2 Khmer-style age-skip, mirrors their Arthashastra statecraft head start"
maurya,Maurya,"Workers move 15% faster (Mauryan road network)",Economy,+15% move speed,,,,"AoE2 Ethiopians-style eco-adjacent mobility bonus"
maurya,Maurya,,,,"Mauryan War Elephant (Siege-class, 100HP/11dmg, slow, anti-building - the heaviest elephant in the roster)",,,"Ashoka-era war elephant corps, historically Maurya's signature military asset"
maurya,Maurya,,,,"Mauryan Pillar Edict Scholar (Infantry-class, 30HP/4dmg, +50% aura radius boost to nearby Workers' gather rate while standing near them - a support unit, not a fighter)",,,"Ashoka's edict pillars/administrative reach, reimagined as a support unit"
maurya,Maurya,,,,,"Arthashastra Statecraft (all Age-up research times -25%)",,"AoE2 Byzantines-style admin-efficiency unique tech"
maurya,Maurya,,,,,,"Allied Town Centers also get -25% Wood cost on Houses (weaker version of Maurya's own bonus)","AoE2-style team bonus, shares a diluted version of the civ's own identity"
chola,Chola,"Villagers/Workers gather 15% faster (existing, port as-is from CivilizationProfile.GatherRateMultiplier)",Economy,+15% gather rate,,,,"Already built - port exact value"
chola,Chola,"Buildings cost 15% less Wood/Stone (existing, port as-is)",Economy,-15% build cost,,,,"Already built - port exact value"
chola,Chola,"Market building can be placed anywhere, not gated behind an Age requirement other civs might get later (structural head start on trade)",Structural,No Market age-gate,,,,"Extends existing trade-network identity structurally"
chola,Chola,,,,"Chola Naval Raider (Archer-class, 22HP/6dmg/range7, land-based by design - existing, port as-is from UniqueUnitDefinition/CholaNavalRaiderFactory)",,,"Already built - port exact"
chola,Chola,,,,"Chola Catamaran (Naval-class, fast scout/harassment boat, low HP high speed, reuses WarGalley's UnitClass/WaterMover pattern - NEW second unique unit)",,,"Chola's real historical naval dominance (Chola dynasty ran a blue-water navy) - the Naval Raider deliberately stayed land-based to avoid being dead weight on non-water maps, so this second unit is the actual naval payoff for players on Coastal"
chola,Chola,,,,,"Chola Trade Networks (existing, port as-is: Market spread 70/30 -> 85/15)","AoE2-style existing unique tech, port exact"
chola,Chola,,,,,,"Allied Markets also get a narrowed 5-point spread (diluted version of Chola's own unique tech)","AoE2-style team bonus sharing a diluted version of the civ identity"
vijayanagara,Vijayanagara,"Soldiers train 20% faster (existing, port as-is from CivilizationProfile.TrainTimeMultiplier)",Military,-20% train time,,,,"Already built - port exact value"
vijayanagara,Vijayanagara,"Walls/Gates/Towers cost 20% less Stone (structural - lets Vijayanagara wall up earlier/cheaper than anyone else, reflecting Hampi's real fortification obsession)",Structural,-20% fortification cost,,,,"Extends existing Hampi identity structurally, not just the HP tech below"
vijayanagara,Vijayanagara,"Towers get +1 attack range (Hampi's watchtowers saw further)",Military,+1 Tower range,,,,"AoE2 Byzantines/Teutons-style defensive-building specialization"
vijayanagara,Vijayanagara,,,,"Vijayanagara War Elephant (Siege-class, 90HP/10dmg - existing, port as-is from UniqueUnitDefinition/VijayanagaraWarElephantFactory)",,,"Already built - port exact"
vijayanagara,Vijayanagara,,,,"Hampi Temple Guard (Infantry-class, 45HP/6dmg, +20% max health when within Tower/Wall range - a garrison specialist, NEW second unique unit)",,,"Reinforces the fortification identity with a unit that's actually better for defending Vijayanagara's own cheap/tough walls, not just a generic 2nd infantry"
vijayanagara,Vijayanagara,,,,,"Hampi Fortifications (existing, port as-is: Wall/Gate/Tower HP x1.3)","AoE2-style existing unique tech, port exact"
vijayanagara,Vijayanagara,,,,,,"Allied Walls/Gates/Towers get +15% HP (diluted version of Hampi Fortifications)","AoE2-style team bonus"
rajput,Rajput,"Soldiers deal 20% more damage, +15% max health (existing, port as-is from CivilizationProfile.SoldierDamageMultiplier/MaxHealthMultiplier)",Military,+20% dmg / +15% HP,,,,"Already built - port exact value"
rajput,Rajput,"Cavalry cost 15% less Gold (structural - lets Rajput field their signature unit type earlier/in greater numbers than the generic bonus alone would)",Structural,-15% Cavalry gold cost,,,,"Extends existing warrior-clan identity structurally, not just damage"
rajput,Rajput,"Defeated Cavalry has a 25% chance to leave behind a weakened Infantry survivor instead of dying outright (reflects Rajput martial tradition of dismounted last-stand combat)",Structural,25% dismount-survival chance,,,,"AoE2 Bulgarians Konnik-style unit-revival mechanic, directly named as a template example in the research pack"
rajput,Rajput,,,,"Rajput Royal Guard (Cavalry-class, 55HP/9dmg - existing, port as-is from UniqueUnitDefinition/RajputRoyalGuardFactory)",,,"Already built - port exact"
rajput,Rajput,,,,"Rajput Rajputani Archer (Archer-class, 24HP/5dmg, +25% damage specifically vs Cavalry-class targets - a dedicated anti-cavalry specialist, NEW second unique unit)",,,"Historical Rajput martial tradition included mounted archer support alongside heavy cavalry; also gives Rajput a real answer to being counter-picked by enemy Cavalry"
rajput,Rajput,,,,,"Rajput Warrior Clans (existing, port as-is: Cavalry +3 flat damage)","AoE2-style existing unique tech, port exact"
rajput,Rajput,,,,,,"Allied Cavalry get +1 flat damage (diluted version of Rajput Warrior Clans)","AoE2-style team bonus"
maratha,Maratha,"Cavalry move 20% faster (Ganimi Kava guerrilla hit-and-run doctrine)",Military,+20% cavalry move speed,,,,"Directly named as a template example in the research pack (Huns/Tatars mobility pattern)"
maratha,Maratha,"Scouted/discovered enemy positions are remembered permanently even after losing vision (structural - Maratha guerrilla warfare relied on terrain/intel knowledge, not brute force)",Structural,Permanent scouted-position memory,,,,"AoE2 Vikings/explorer-vision-style intel bonus, reimagined as permanent memory rather than +sight radius"
maratha,Maratha,"Docks cost 25% less Wood and Fishing Boats/War Galleys train 15% faster (Maratha naval power under Kanhoji Angre)",Economy/Naval,-25% Dock cost / +15% naval train speed,,,,"AoE2 Malay/Italians naval-eco pattern, directly named in the research pack, applied to Maratha's real historical naval strength"
maratha,Maratha,,,,"Maratha Mavla Raider (Cavalry-class, 40HP/7dmg, +30% move speed on top of the civ's existing cavalry speed bonus, -20% HP relative to Rajput Royal Guard - a fast-glass-cannon raider, not a line-holder)",,,"Ganimi Kava light-cavalry guerrilla raiders, Maratha's actual signature historical unit type"
maratha,Maratha,,,,"Maratha Durg Garrison (Infantry-class, 35HP/5dmg, immune to the Siege-class 3x anti-building damage bonus while garrisoned inside a Wall/Tower - a fortress-defense specialist, NEW second unique unit)",,,"Maratha mountain-fort (durg) network was central to their strategy - this unit rewards the historical durg-defense playstyle mechanically, not just flavor text"
maratha,Maratha,,,,,"Ganimi Kava Doctrine (Cavalry take 20% less damage while their move stance is Aggressive and they're not the one who initiated the attack - rewards hit-and-run play over standing fights)","Directly matches the historical guerrilla-warfare identity mechanically, not just as a stat name"
maratha,Maratha,,,,,,"Allied Cavalry get +10% move speed (diluted version of Maratha's own mobility identity)","AoE2-style team bonus"
